So_phong,Dien_tich_m2,Khoang_cach_km,Gia_nha_trieu_VND
4,239,2.3,13740
5,195,11.8,11320
3,172,1.2,9820
5,161,9.6,9470
5,285,11.1,14720
2,91,6.1,5590
3,71,12.0,4050
3,98,1.1,5690
3,189,1.2,11070
5,230,16.5,11490
4,192,7.5,9960
3,160,3.0,9270
6,232,10.7,12980
5,283,15.5,15180
2,120,4.7,7110
4,192,12.6,10820
6,121,2.2,8030
6,249,1.5,14190
2,93,10.9,5080
4,166,11.0,9010
5,228,12.9,12360
1,48,14.7,2040
4,205,19.5,10620
2,169,10.6,8890
6,172,6.8,10130
5,271,16.0,14310
4,239,5.8,12230
1,99,9.1,5020
1,61,2.0,3860
3,127,1.0,7610
3,182,19.3,9280
2,77,16.8,4020
4,103,14.1,6280
4,148,8.5,8480
6,235,3.9,13270
6,217,3.6,11940
6,258,5.4,13950
3,203,11.2,10950
4,176,14.4,9760
4,203,13.4,11340
1,88,6.0,4700
3,129,19.1,6440
5,192,14.9,10420
3,62,11.3,4420
5,247,12.4,13280
1,88,8.7,5360
2,129,5.3,7320
4,226,7.4,12740
1,49,15.3,2790
4,175,0.8,10280
6,171,2.8,9890
2,167,1.4,9320
2,78,1.3,5500
1,111,17.2,5720
2,143,14.2,7240
5,228,9.7,12350
2,50,2.4,2900
4,257,10.1,14220
4,230,9.7,12700
4,238,3.9,13120
4,121,9.0,7060
5,198,8.3,10300
3,66,12.5,3660
6,263,12.9,14660
1,119,1.4,7180
4,191,7.8,10680
2,99,12.7,5280
4,192,10.3,10730
2,41,17.2,1990
6,248,13.3,12830
6,167,3.7,9990
6,259,1.9,14850
2,76,13.0,4510
4,239,1.0,12900
6,128,11.9,7460
5,198,18.8,10350
2,87,11.7,4360
2,170,8.1,9300
4,227,13.0,12290
2,93,9.4,5100
2,159,11.1,9110
6,280,18.9,14540
4,231,8.0,12390
6,235,19.2,12220
6,194,18.2,10110
4,192,4.3,10640
1,101,1.9,5400
6,283,2.5,15800
5,265,0.9,14910
5,203,2.3,10900
2,123,13.8,6380
5,211,1.9,12140
2,138,6.7,7800
1,54,17.0,3000
4,172,1.0,10350
4,225,16.4,11490
4,207,6.0,11220
5,209,2.8,12170
1,111,14.1,5420
5,293,12.8,15090
5,153,17.6,9040
1,64,14.8,3110
1,109,16.2,5160
1,90,6.0,4320
1,70,4.0,4520
4,240,15.1,12190
3,127,16.2,6650
3,92,19.8,4990
1,43,8.5,2240
3,80,7.8,4860
3,107,15.6,6210
1,49,7.1,2110
3,187,18.6,9200
5,235,17.2,12020
2,167,8.9,8870
2,72,15.1,3760
1,77,15.2,3470
4,194,2.5,10830
1,115,18.1,5280
4,198,10.4,10620
2,61,16.6,3210
1,59,6.7,3810
6,157,18.0,8930
5,208,8.1,11800
3,110,0.7,6490
4,87,18.2,4690
6,146,2.3,9860
3,86,6.7,5560
3,80,19.0,3950
1,59,19.0,3250
3,156,11.7,8240
5,127,12.8,6980
6,230,9.2,13270
3,120,6.2,6480
1,77,6.9,3710
5,246,13.6,13450
2,43,15.2,2330
6,154,15.9,8590
3,108,15.9,5580
1,46,2.3,3050
2,85,10.1,4590
2,156,1.6,8640
4,85,11.2,4910
5,198,9.1,10860
3,183,17.8,9040
1,66,7.3,3610
4,103,2.8,5610
5,192,3.3,11330
4,125,15.3,6910
6,300,12.6,16030
5,194,2.5,11320
5,198,2.1,11560
3,175,14.2,8910
5,290,1.9,15890
4,239,16.5,12580
5,260,14.3,13840
3,126,2.1,8220
3,187,2.2,11110
6,137,19.7,7780
4,104,7.8,5950
2,93,7.7,5110
2,97,16.3,4600
5,166,19.0,8860
6,223,19.7,10790
1,75,15.2,3580
5,123,7.8,7240
6,233,2.1,12860
4,111,15.7,6330
4,254,11.4,13080
4,165,8.8,9290
4,230,18.2,12810
4,206,2.7,11080
6,274,10.1,14870
6,249,0.7,14140
3,76,9.6,4310
2,143,1.6,8470
4,240,2.8,13730
1,38,2.8,2970
6,162,13.2,8870
1,77,15.0,4710
1,68,11.9,2990
1,122,19.3,5460
3,85,7.8,5140
6,218,6.1,12410
1,79,17.4,3970
4,232,4.9,13350
5,251,19.3,12950
1,42,0.7,3070
3,119,19.4,5820
6,254,1.3,14700
3,116,17.9,5870
1,65,10.8,3420
6,292,19.9,15380
5,119,1.9,7890
1,94,11.3,4170
3,67,19.4,3560
2,154,10.7,8070
4,222,12.8,12120
3,151,14.1,7890
6,217,9.4,12570
